12-Apr-22 19:22:06 - kafka.conn - ERROR - <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connected> [IPv4 ('20.219.84.36', 9092)]>: socket disconnected
12-Apr-22 19:22:06 - kafka.coordinator - ERROR - Error sending GroupCoordinatorRequest_v0 to node bootstrap-0 [KafkaConnectionError: socket disconnected]
12-Apr-22 19:22:06 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:06 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:06 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:07 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:07 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:08 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:09 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:10 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:11 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:12 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:13 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:15 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:16 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:17 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:18 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:19 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:20 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:21 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:22 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:23 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:24 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:26 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:26 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:29 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:29 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:30 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:31 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:32 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:33 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:35 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:35 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:36 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:37 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:38 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:39 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:40 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:42 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:42 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:43 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:44 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:45 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:47 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:47 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:48 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:49 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:50 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:51 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:52 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:53 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:55 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:56 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:57 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:58 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:22:59 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:00 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:01 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:02 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:03 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:05 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:05 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:07 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
